designator,quantity,value,pack,mpn,mount_type
", , , , , , , ",8,,,,tht
"C1, C5, C6, C7, C8",5,100n,C_0402_1005Metric,,smt
"C10, C2, C3",3,1u,C_0402_1005Metric,,smt
C4,1,4.7u,C_0402_1005Metric,,smt
C9,1,10n,C_0402_1005Metric,,smt
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D8, D9",68,D,D_SOD-123,,smt
J1,1,JST SH 4p,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,,smt
MX1,1,F1,SW_MX_1u,,tht
MX10,1,U,SW_MX_1u,,tht
MX11,1,I,SW_MX_1u,,tht
MX12,1,O,SW_MX_1u,,tht
MX13,1,P,SW_MX_1u,,tht
MX14,1,[,SW_MX_1u,,tht
MX15,1,],SW_MX_1u,,tht
MX16,1,BS,SW_MX_1u,,tht
MX17,1,7,SW_MX_1u,,tht
MX18,1,8,SW_MX_1u,,tht
MX19,1,9,SW_MX_1u,,tht
MX2,1,F5,SW_MX_1u,,tht
MX20,1,F2,SW_MX_1u,,tht
MX21,1,F6,SW_MX_1u,,tht
MX22,1,CL,SW_MX_1.75u,,tht
MX23,1,A,SW_MX_1u,,tht
MX24,1,S,SW_MX_1u,,tht
MX25,1,D,SW_MX_1u,,tht
MX26,1,F,SW_MX_1u,,tht
MX27,1,G,SW_MX_1u,,tht
MX28,1,H,SW_MX_1u,,tht
MX29,1,J,SW_MX_1u,,tht
MX3,1,TAB,SW_MX_1.5u,,tht
MX30,1,K,SW_MX_1u,,tht
MX31,1,L,SW_MX_1u,,tht
MX32,1,;,SW_MX_1u,,tht
MX33,1,Enter,SW_MX_1.75u,,tht
MX34,1,4,SW_MX_1u,,tht
MX35,1,5,SW_MX_1u,,tht
MX36,1,6,SW_MX_1u,,tht
MX37,1,F3,SW_MX_1u,,tht
MX38,1,F7,SW_MX_1u,,tht
MX39,1,LS,SW_MX_1u,,tht
MX4,1,Q,SW_MX_1u,,tht
MX40,1,Z,SW_MX_1u,,tht
MX41,1,X,SW_MX_1u,,tht
MX42,1,C,SW_MX_1u,,tht
MX43,1,V,SW_MX_1u,,tht
MX44,1,B,SW_MX_1u,,tht
MX45,1,N,SW_MX_1u,,tht
MX46,1,M,SW_MX_1u,,tht
"MX47, MX65, MX66",3,.,SW_MX_1u,,tht
MX48,1,",",SW_MX_1u,,tht
MX49,1,/,SW_MX_1u,,tht
MX5,1,W,SW_MX_1u,,tht
MX50,1,Shift 1.25,SW_MX_1.25u,,tht
MX51,1,Shift 2.25u,SW_MX_1u,,tht
MX52,1,1,SW_MX_1u,,tht
MX53,1,2,SW_MX_1u,,tht
MX54,1,3,SW_MX_1u,,tht
MX55,1,F4,SW_MX_1u,,tht
MX56,1,F8,SW_MX_1u,,tht
MX57,1,CTRL 1u,SW_MX_1u,,tht
"MX58, MX61",2,GUI 1.25u,SW_MX_1.25u,,tht
MX59,1,1u alt,SW_MX_1u,,tht
MX6,1,E,SW_MX_1u,,tht
MX60,1,alt 1u,SW_MX_1u,,tht
MX62,1,1u ctrl,SW_MX_1u,,tht
MX63,1,0,SW_MX_1u,,tht
MX64,1,2u 0,SW_MX_1u,,tht
MX67,1,alt 1.50u,SW_MX_1.5u,,tht
"MX68, MX71",2,GUI 1u,SW_MX_1u,,tht
MX69,1,1.25 ctrl,SW_MX_1.25u,,tht
MX7,1,R,SW_MX_1u,,tht
MX70,1,CTRL 1.25u,SW_MX_1.25u,,tht
MX72,1,1.5u alt,SW_MX_1.5u,,tht
MX73,1,L 1u split sb,SW_MX_1u,,tht
MX74,1,S 7u 2.25,SW_MX_1u,,tht
MX75,1,7u & centered 6u,SW_MX_1u,,tht
MX76,1,S 7u 2.75,SW_MX_1u,,tht
MX77,1,R 1u split sb,SW_MX_1u,,tht
"MX78, MX80",2,S 6u 2.25,SW_MX_1u,,tht
MX79,1,1u 6u split,SW_MX_1u,,tht
MX8,1,T,SW_MX_1u,,tht
MX81,1,CL,SW_MX_1.25u,,tht
MX9,1,Y,SW_MX_1u,,tht
R1,1,10k,R_0603_1608Metric,,smt
"S1, S2",2,2u,STAB_MX_2u,,tht
S10,1,6u,STAB_MX_6u,,tht
"S11, S12, S3, S7",4,2.25,STAB_MX_2.25u,,tht
"S5, S8",2,2.75,STAB_MX_2.75u,,tht
S9,1,7u,STAB_MX_7u,,tht
SW1,1,RST,SW_SPST_TL3342,,smt
SW2,1,BOOT,SW_SPST_TL3342,,smt
U1,1,STM32F072CBTx,LQFP-48_7x7mm_P0.5mm,,smt
U2,1,XC6206PxxxMR,SOT-23-3,,smt
