pos_x,pos_y,rotation,side,designator,mpn,pack,value,mount_type,place
330.4,-55.75,180.0,top,,,,,tht,True
330.4,-50.2,0.0,top,,,,,tht,True
330.360001,-50.76,0.0,top,,,,,tht,True
330.410001,-56.320001,180.0,top,,,,,tht,True
329.320001,-50.750001,0.0,top,,,,,tht,True
329.360002,-55.740001,180.0,top,,,,,tht,True
329.840001,-50.770001,0.0,top,,,,,tht,True
329.88,-55.730001,180.0,top,,,,,tht,True
335.160041,-70.189958,0.0,bottom,C1,,C_0402_1005Metric,100n,smt,True
338.747705,-55.081732,180.0,bottom,C10,,C_0402_1005Metric,1u,smt,True
336.91,-50.41,0.0,bottom,C2,,C_0402_1005Metric,1u,smt,True
332.910328,-71.397341,0.0,bottom,C3,,C_0402_1005Metric,1u,smt,True
338.72,-56.23,180.0,bottom,C4,,C_0402_1005Metric,4.7u,smt,True
340.537901,-66.297901,90.0,bottom,C5,,C_0402_1005Metric,100n,smt,True
332.91,-70.218484,0.0,bottom,C6,,C_0402_1005Metric,100n,smt,True
338.720002,-57.3048,180.0,bottom,C7,,C_0402_1005Metric,100n,smt,True
327.980002,-60.270001,180.0,bottom,C8,,C_0402_1005Metric,100n,smt,True
327.950884,-59.166912,180.0,bottom,C9,,C_0402_1005Metric,10n,smt,True
49.468914,-37.61875,90.0,bottom,D1,,D_SOD-123,D,smt,True
235.206414,-37.61875,90.0,bottom,D10,,D_SOD-123,D,smt,True
254.256414,-37.61875,90.0,bottom,D11,,D_SOD-123,D,smt,True
273.306414,-37.61875,90.0,bottom,D12,,D_SOD-123,D,smt,True
292.356414,-37.61875,90.0,bottom,D13,,D_SOD-123,D,smt,True
307.378914,-41.53375,90.0,bottom,D14,,D_SOD-123,D,smt,True
328.016414,-41.53375,90.0,bottom,D15,,D_SOD-123,D,smt,True
354.268914,-37.61875,90.0,bottom,D16,,D_SOD-123,D,smt,True
373.318914,-37.61875,90.0,bottom,D17,,D_SOD-123,D,smt,True
388.14375,-37.30625,90.0,bottom,D18,,D_SOD-123,D,smt,True
48.616414,-49.575,-90.0,bottom,D19,,D_SOD-123,D,smt,True
68.518914,-37.61875,90.0,bottom,D2,,D_SOD-123,D,smt,True
67.666414,-49.575,-90.0,bottom,D20,,D_SOD-123,D,smt,True
98.622664,-49.575,-90.0,bottom,D21,,D_SOD-123,D,smt,True
124.816414,-49.575,-90.0,bottom,D22,,D_SOD-123,D,smt,True
143.866414,-49.575,-90.0,bottom,D23,,D_SOD-123,D,smt,True
162.916414,-49.575,-90.0,bottom,D24,,D_SOD-123,D,smt,True
181.966414,-49.575,-90.0,bottom,D25,,D_SOD-123,D,smt,True
201.016414,-49.575,-90.0,bottom,D26,,D_SOD-123,D,smt,True
220.066414,-49.575,-90.0,bottom,D27,,D_SOD-123,D,smt,True
239.116414,-49.575,-90.0,bottom,D28,,D_SOD-123,D,smt,True
258.166414,-49.575,-90.0,bottom,D29,,D_SOD-123,D,smt,True
97.093914,-37.61875,90.0,bottom,D3,,D_SOD-123,D,smt,True
277.216414,-49.575,-90.0,bottom,D30,,D_SOD-123,D,smt,True
296.266414,-49.575,-90.0,bottom,D31,,D_SOD-123,D,smt,True
322.460164,-49.575,-90.0,bottom,D32,,D_SOD-123,D,smt,True
353.416414,-49.575,-90.0,bottom,D33,,D_SOD-123,D,smt,True
372.466414,-49.575,-90.0,bottom,D34,,D_SOD-123,D,smt,True
383.38125,-49.575,-90.0,bottom,D35,,D_SOD-123,D,smt,True
47.028914,-79.63375,90.0,bottom,D36,,D_SOD-123,D,smt,True
66.078914,-79.63375,90.0,bottom,D37,,D_SOD-123,D,smt,True
101.797664,-79.63375,90.0,bottom,D38,,D_SOD-123,D,smt,True
132.753914,-79.63375,90.0,bottom,D39,,D_SOD-123,D,smt,True
120.906414,-37.61875,90.0,bottom,D4,,D_SOD-123,D,smt,True
151.803914,-79.69625,90.0,bottom,D40,,D_SOD-123,D,smt,True
170.853914,-79.63375,90.0,bottom,D41,,D_SOD-123,D,smt,True
189.903914,-79.63375,90.0,bottom,D42,,D_SOD-123,D,smt,True
208.953914,-79.63375,90.0,bottom,D43,,D_SOD-123,D,smt,True
228.003914,-79.63375,90.0,bottom,D44,,D_SOD-123,D,smt,True
247.053914,-79.63375,90.0,bottom,D45,,D_SOD-123,D,smt,True
266.103914,-79.63375,90.0,bottom,D46,,D_SOD-123,D,smt,True
